Period,Month,Year,Month/Year,Actual Balance,Full Trendline,Delta Between Last Payment,Actual/Forecast
1,12,2016,122016,29116.20,29116.2,N/A,A
2,1,2017,012017,28108.40,28108.4,1007.7999999999993,A
3,2,2017,022017,27786.53,27786.53,321.8700000000026,A
4,3,2017,032017,27538.33,27538.33,248.1999999999971,A
5,4,2017,042017,27265.93,27265.93,272.40000000000146,A
6,5,2017,052017,26946.72,26946.72,319.2099999999991,A
7,6,2017,062017,26708.23,26708.23,238.4900000000016,A
8,7,2017,072017,26403.14,26403.14,305.09000000000015,A
9,8,2017,082017,26096.93,26096.93,306.2099999999991,A
10,9,2017,092017,25801.84,25801.84,295.09000000000015,A
11,10,2017,102017,25499.47,25499.47,302.369999999999,A
12,11,2017,112017,25192.88,25192.88,306.59000000000015,A
13,12,2017,122017,24876.25,24876.25,316.630000000001,A
14,1,2018,012018,24561.42,24561.42,314.83000000000175,A
15,2,2018,022018,24239.68,24239.68,321.73999999999796,A
16,3,2018,032018,23939.76,23939.76,299.9200000000019,A
17,4,2018,042018,23627.23,23627.23,312.52999999999884,A
18,5,2018,052018,23305.19,23305.19,322.0400000000009,A
19,6,2018,062018,22992.99,22992.99,312.1999999999971,A
20,7,2018,072018,22625.5,22625.5,367.4900000000016,A
21,8,2018,082018,22308.77,22308.77,316.72999999999956,A
22,9,2018,092018,22191.26,22191.26,117.51000000000204,A
23,10,2018,102018,22070.69,22070.69,120.56999999999971,A
24,11,2018,112018,21972.92,21972.92,97.77000000000044,A
25,12,2018,122018,21824.51,21824.51,148.40999999999985,A
26,1,2019,012019,21695.06,21695.06,129.4499999999971,A
27,2,2019,022019,21541.35,21541.35,153.71000000000276,A
28,3,2019,032019,21468.99,21468.99,72.35999999999694,A
29,4,2019,042019,21014.1,21014.1,454.89000000000306,A
30,5,2019,052019,20582.78,20582.78,431.3199999999997,A
31,6,2019,062019,20171.59,20171.59,411.1899999999987,A
32,7,2019,072019,19732.66,19732.66,438.9300000000003,A
33,8,2019,082019,19312.99,19312.99,419.66999999999825,A
34,9,2019,092019,18875.82,18875.82,437.1700000000019,A
35,10,2019,102019,18441.5,18441.5,434.3199999999997,A
36,11,2019,112019,18009.86,18009.86,431.6399999999994,A
37,12,2019,122019,nan,17533.157707155104,476.7022928448969,F
38,1,2020,012020,nan,17055.820696763272,477.3370103918314,F
39,2,2020,022020,nan,16577.848123713477,477.97257304979576,F
40,3,2020,032020,nan,16099.239141769449,478.6089819440276,F
41,4,2020,042020,nan,15619.992903568174,479.24623820127454,F
42,5,2020,052020,nan,15140.108560618391,479.8843429497829,F
43,6,2020,062020,nan,14659.5852632991,480.5232973192924,F
44,7,2020,072020,nan,14178.422160858041,481.1631024410581,F
45,8,2020,082020,nan,13696.618401410207,481.8037594478337,F
46,9,2020,092020,nan,13214.173131936328,482.4452694738793,F
47,10,2020,102020,nan,12731.08549828135,483.08763365497725,F
48,11,2020,112020,nan,12247.354645152942,483.73085312840885,F
49,12,2020,122020,nan,11762.979716119964,484.3749290329779,F
50,1,2021,012021,nan,11277.959853610962,485.01986250900154,F
51,2,2021,022021,nan,10792.29419891265,485.6656546983122,F
52,3,2021,032021,nan,10305.981892168384,486.3123067442666,F
53,4,2021,042021,nan,9819.022072376636,486.9598197917476,F
54,5,2021,052021,nan,9331.413877389483,487.6081949871532,F
55,6,2021,062021,nan,8843.15644391107,488.2574334784131,F
56,7,2021,072021,nan,8354.248907496083,488.9075364149867,F
57,8,2021,082021,nan,7864.690402548223,489.55850494786046,F
58,9,2021,092021,nan,7374.480062318666,490.210340229557,F
59,10,2021,102021,nan,6883.61701890454,490.86304341412597,F
60,11,2021,112021,nan,6392.100403247374,491.51661565716586,F
61,12,2021,122021,nan,5899.929345131571,492.17105811580313,F
62,1,2022,012022,nan,5407.102973182863,492.8263719487077,F
63,2,2022,022022,nan,4913.620414866767,493.4825583160964,F
64,3,2022,032022,nan,4419.480796487041,494.139618379726,F
65,4,2022,042022,nan,3924.6832431841385,494.7975533029021,F
66,5,2022,052022,nan,3429.226878933659,495.4563642504795,F
67,6,2022,062022,nan,2933.1108265447965,496.1160523888625,F
68,7,2022,072022,nan,2436.334207658786,496.7766188860105,F
69,8,2022,082022,nan,1938.8961427473498,497.4380649114362,F
70,9,2022,092022,nan,1440.79575111114,498.1003916362099,F
71,10,2022,102022,nan,942.0321508781781,498.76360023296183,F
72,11,2022,112022,nan,442.60445900229456,499.4276918758835,F
73,12,2022,122022,nan,0.0,442.60445900229456,F
74,1,2023,012023,nan,0.0,N/A,F
75,2,2023,022023,nan,0.0,N/A,F
76,3,2023,032023,nan,0.0,N/A,F
77,4,2023,042023,nan,0.0,N/A,F
78,5,2023,052023,nan,0.0,N/A,F
79,6,2023,062023,nan,0.0,N/A,F
80,7,2023,072023,nan,0.0,N/A,F
81,8,2023,082023,nan,0.0,N/A,F
82,9,2023,092023,nan,0.0,N/A,F
83,10,2023,102023,nan,0.0,N/A,F
84,11,2023,112023,nan,0.0,N/A,F
